code,K,T,call
10000001,2.2,20150325,510050C1503M02200
10000002,2.25,20150325,510050C1503M02250
10000003,2.3,20150325,510050C1503M02300
10000004,2.35,20150325,510050C1503M02350
10000005,2.4,20150325,510050C1503M02400
10000006,2.2,20150325,510050P1503M02200
10000007,2.25,20150325,510050P1503M02250
10000008,2.3,20150325,510050P1503M02300
10000009,2.35,20150325,510050P1503M02350
10000010,2.4,20150325,510050P1503M02400
10000011,2.2,20150422,510050C1504M02200
10000012,2.25,20150422,510050C1504M02250
10000013,2.3,20150422,510050C1504M02300
10000014,2.35,20150422,510050C1504M02350
10000015,2.4,20150422,510050C1504M02400
10000016,2.2,20150422,510050P1504M02200
10000017,2.25,20150422,510050P1504M02250
10000018,2.3,20150422,510050P1504M02300
10000019,2.35,20150422,510050P1504M02350
10000020,2.4,20150422,510050P1504M02400
10000021,2.2,20150624,510050C1506M02200
10000022,2.25,20150624,510050C1506M02250
10000023,2.3,20150624,510050C1506M02300
10000024,2.35,20150624,510050C1506M02350
10000025,2.4,20150624,510050C1506M02400
10000026,2.2,20150624,510050P1506M02200
10000027,2.25,20150624,510050P1506M02250
10000028,2.3,20150624,510050P1506M02300
10000029,2.35,20150624,510050P1506M02350
10000030,2.4,20150624,510050P1506M02400
10000031,2.2,20150923,510050C1509M02200
10000032,2.25,20150923,510050C1509M02250
10000033,2.3,20150923,510050C1509M02300
10000034,2.35,20150923,510050C1509M02350
10000035,2.4,20150923,510050C1509M02400
10000036,2.2,20150923,510050P1509M02200
10000037,2.25,20150923,510050P1509M02250
10000038,2.3,20150923,510050P1509M02300
10000039,2.35,20150923,510050P1509M02350
10000040,2.4,20150923,510050P1509M02400
10000041,2.45,20150325,510050C1503M02450
10000042,2.45,20150325,510050P1503M02450
10000043,2.45,20150422,510050C1504M02450
10000044,2.45,20150422,510050P1504M02450
10000045,2.45,20150624,510050C1506M02450
10000046,2.45,20150624,510050P1506M02450
10000047,2.45,20150923,510050C1509M02450
10000048,2.45,20150923,510050P1509M02450
10000049,2.5,20150325,510050C1503M02500
10000050,2.5,20150325,510050P1503M02500
10000051,2.5,20150422,510050C1504M02500
10000052,2.5,20150422,510050P1504M02500
10000053,2.5,20150624,510050C1506M02500
10000054,2.5,20150624,510050P1506M02500
10000055,2.5,20150923,510050C1509M02500
10000056,2.5,20150923,510050P1509M02500
10000057,2.55,20150325,510050C1503M02550
10000058,2.55,20150325,510050P1503M02550
10000059,2.55,20150422,510050C1504M02550
10000060,2.55,20150422,510050P1504M02550
10000061,2.55,20150624,510050C1506M02550
10000062,2.55,20150624,510050P1506M02550
10000063,2.55,20150923,510050C1509M02550
10000064,2.55,20150923,510050P1509M02550
10000065,2.6,20150325,510050C1503M02600
10000066,2.6,20150325,510050P1503M02600
10000067,2.6,20150422,510050C1504M02600
10000068,2.6,20150422,510050P1504M02600
10000069,2.6,20150624,510050C1506M02600
10000070,2.6,20150624,510050P1506M02600
10000071,2.6,20150923,510050C1509M02600
10000072,2.6,20150923,510050P1509M02600
10000073,2.65,20150325,510050C1503M02650
10000074,2.65,20150325,510050P1503M02650
10000075,2.65,20150422,510050C1504M02650
10000076,2.65,20150422,510050P1504M02650
10000077,2.65,20150624,510050C1506M02650
10000078,2.65,20150624,510050P1506M02650
10000079,2.65,20150923,510050C1509M02650
10000080,2.65,20150923,510050P1509M02650
10000081,2.7,20150325,510050C1503M02700
10000082,2.7,20150325,510050P1503M02700
10000083,2.7,20150422,510050C1504M02700
10000084,2.7,20150422,510050P1504M02700
10000085,2.7,20150624,510050C1506M02700
10000086,2.7,20150624,510050P1506M02700
10000087,2.7,20150923,510050C1509M02700
10000088,2.7,20150923,510050P1509M02700
10000089,2.75,20150325,510050C1503M02750
10000090,2.75,20150325,510050P1503M02750
10000091,2.75,20150422,510050C1504M02750
10000092,2.75,20150422,510050P1504M02750
10000093,2.75,20150624,510050C1506M02750
10000094,2.75,20150624,510050P1506M02750
10000095,2.75,20150923,510050C1509M02750
10000096,2.75,20150923,510050P1509M02750
10000097,2.8,20150325,510050C1503M02800
